Lightning Zeus;(-88.590949881097;63.897046017674)
Star Observatory;(-88.006064434871;63.552396825024)
Ianos Hangout;(-84.217802221002;64.195510348164)
Satyr's Respite;(-83.167048215302;64.207610906263)
Temple of Apollo;(-83.050716913811;64.522038589626)
Temple of Artemis;(-84.075950890258;64.706281220225)
Kephisos Spring;(-83.583087825732;64.872581368968)
Hut of Hyleus;(-83.448680512316;63.909506120932)
Temple of Apollo_1;(-80.439305374631;62.9195970886)
Ruins of Artemis;(-82.228211658233;65.448869172924)
Lokris Overwatch;(-80.190419542669;64.554409803808)
Rock Arch;(-79.193717365938;65.811213260684)
Asklepion;(-77.847371618173;66.285762499009)
Mount Athos;(-76.833487004719;65.517742919142)
Temple of Athena;(-77.022453654534;60.835336948849)
Lover's Leap;(-79.059173298388;60.473985353974)
Melos Temple;(-77.73457687093;59.541430452277)
Temple of Apollo_2;(-88.223698230665;62.288316368254)
Ionian Watch;(-87.661324313257;62.824748171849)
Temple of Zeus;(-85.912286160853;63.288388153266)
Statue of Poseidon;(-83.874726888128;62.899345118894)
Watchtower;(-84.891911333306;62.65900638571)
Stymphalos Armored Bird;(-83.861370134532;62.36802435097)
Temple of Apollo_3;(-81.648678637357;62.427610104487)
Temple of Aphrodite;(-81.995481355964;62.194736816991)
Abandoned Watchtower;(-79.993386678843;63.254775743188)
Kadmeia;(-79.722848848057;63.789279658207)
Kopais Perch;(-80.594947200711;64.060184323574)
Temple of Apollo_4;(-81.48846489083269;64.22417023558701)
Aliki Apogee;(-75.269841847269;65.639924311658)
Thasos Temple;(-75.333013233988;65.921603289844)
Cliff of Ariadne;(-72.58700642429397;65.2612928179298)
Temple of Hephaistos;(-73.427460525856;65.107980459029)
House of Phoros;(-73.53011171683505;64.93071634566972)
Temple of Achilles;(-74.025091041754;64.313653664057)
Hero's Fall;(-73.832830299566;63.888984994946)
Kedris's Vista;(-75.9285829586131;63.63037595943805)
Temple of Artemis Amarysia;(-75.555047802363;63.960262417503)
Dirfi Peak;(-77.287013374484;64.480078364)
Georgos's Reach;(-78.1371016663307;64.02066897355121)
Poseidon Temple;(-77.7910323303932;64.16287653233962)
Istiaia Peak;(-78.112355131195;64.69910487145)
Temple of Athena Nedousia;(-75.40488995408;62.154881021282)
Marino's Boatwreck;(-75.7921580204864;62.10866202029938)
Reclining Lion;(-75.612943542947;61.923079744)
Shrine of Iakkhos;(-75.24490155075983;61.97732480243398)
Statue of Athena;(-77.645398283132;62.540555813344)
Tower of Sounion;(-77.157617513893;61.867319069769)
Temple of Asklepios;(-78.882576637653;62.361868470796)
Nauplia Harbour;(-81.712214644363;61.288224218575)
Temple of Poseidon;(-81.829871442297;61.655527128085)
Heraion of Argos;(-80.955022569974;61.640456773386)
Foundry of Hephaistos;(-79.317694048042;61.412698570013)
Epidauros Temple;(-80.233224163073;61.529466903941)
Epidauros Sanctuary;(-80.456729640777;61.216867732837)
Sight of Perseus;(-80.180174599679;60.940531620957)
Helot Lookout;(-81.450010430897;59.422145990211)
Taygetos Overlook;(-83.166119061329;59.56294559435)
Gytheion Watchtower;(-82.724168481947;59.194335709879)
Aipeia Port;(-85.614146206979;59.686631445963)
Vista of Pylos;(-86.148506353202;59.94763324342)
Temple of Zeus_1;(-86.00802178656602;60.5937761777444)
Lykosoura Ruins;(-85.955087297623;60.880068767982)
Ikaros's Nest;(-86.850972209652;61.737258658307)
Temple of Zeus_2;(-86.11841737908;61.983756858147)
Elikia Peak;(-84.424805755702;61.819553610078)
Sanctuary of Athena Polis;(-83.569794722667;61.192678809515)
Temple of Athena Chalkioikos;(-82.799844221146;60.169307674347)
Archegesion of Delos;(-73.297474895871;62.012735081324)
Statue of Apollo;(-73.547413860715;61.644479977318)
Temple of Artemis_1;(-72.176966041585;61.63289747535)
Statue of Artemis Agrotera;(-71.959986061116;61.643335341947)
Pilar of Lindos;(-72.41454538728823;61.59372409373324)
Athena's Watch;(-73.256094930366;60.732807054554)
O Klerikos's House;(-70.97603795278229;61.0062362580453)
Crane of Paxos;(-71.69538800352018;60.88151474837756)
Temple of Dionysos;(-71.413863345317;60.842062627203)
Zeus's Overwatch;(-71.401503726176;60.647268231268)
Stephania's Retreat;(-69.2181087894561;60.30745143653773)
Altar of Apollo;(-69.559105820143;60.088939020574)
Asklepios Temple;(-70.267723984206;59.861955875425)
Rocks of Krenes;(-68.50009165007509;62.27555072635865)
Temple of Hera;(-69.538299657888;62.043284605084)
Sacred Statue of Hera;(-68.931305028981;61.942685061814)
Mantamados Peak;(-69.115747857958;65.871540051513)
Niphetos's Cliff;(-68.31213052319521;65.60713258090976)
Artemis Temple;(-68.526363921633;65.493453304377)
Mountain Temple of Poseidon;(-69.367541035622;65.507121021822)
Eresos North Peak;(-70.767861263038;65.67829831219)
Pasta's Ruins;(-73.74366134269542;58.4641585870887)
Mount Bigla;(-71.551888881758;58.38361972142)
Statues of O Potamos;(-74.75950020100566;57.20944740994826)
Erike's Bluffs;(-75.91977515429721;57.05713360513198)
Cranes of Oi Drues;(-72.23230170896375;57.23957447246399)
Devotion of Edou Aradou;(-70.88141221123874;57.3850835425953)
Korre's Crane;(-81.61160013135242;57.40170968640449)
Aphrodite's Retreat;(-81.211972445806;57.411696361606)
Aphrodite's Beatuy;(-80.73956033643054;57.31760034111177)
Kytera Guesthouse;(-81.084251617656;57.143364704604)
Sacrificial Alter;(-80.79586050437524;56.71664140540967)
Temple of Artemis Diktynna;(-74.885621624046;57.037992872248)
Summit of Mount Ida;(-73.264897771034;56.986294433465)
Palace Customs House;(-71.971008240112;56.91194898828)
Village Anax's House;(-72.328063904175;57.107112839484)
Asterion's Spring;(-70.716128904497;56.847961120889)
Death Gorge Ruins;(-70.04438621887;56.797610187349)
Taygeto's Panorama;(-85.29399792226639;60.30335545289363)
Leo's Vista;(-69.10297750289783;63.51719177008005)
Chios Cliff;(-68.666270959929;63.866546385712)
Poseidon Temple_1;(-68.671764123992;64.065994504957)
Rocks of Pou Reos;(-69.02881978805408;64.1056051975793)
Ta Reumatia's Lament;(-68.53664812255778;64.51590709669118)
Gortyn Waterfall;(-72.720282967329;56.797807696373)
Phaistos Hills;(-73.223681084554;56.490003656904)
Tower of Gilos;(-70.6864791810458;65.46261948014849)
Standing Pillar;(-81.6515293896706;63.70139783592113)
Altar to Zeus;(-77.737889173471;63.051374372474)
