A Gathering Storm;(-83.71274788750202;64.91593957358162)
Righting a Wrong;(-81.09386269580955;64.7315408847732)
Praxilla's Admirer;(-81.45069751017297;63.54221422940356)
Odyssey Into the Past;(-74.10570226590141;64.10998226435935)
Setting the Stage;(-88.09627388458296;62.4009058802105)
Evening the Odds;(-87.76668404083296;62.38435956479483)
The Curse of Fame;(-87.10527523457239;62.06323983147779)
The Hedonistic Method;(-86.69385878547894;62.01157785997955)
Showtime;(-88.13378048091488;62.40623517971402)
A Sophisticated Tipple;(-88.83640110090738;62.20463351807663)
Everyman's Drink;(-88.14507170517209;62.53901820854995)
