Echion the Watcher;(-77.90676085460927;66.30205082714947)
Konon the Fighter;(-78.25864691531876;66.2627889125534)
Phratagoun\u00e8 the Keeper;(-79.45937097942266;66.32168225256825)
Akantha the Deceiver;(-77.80435291297545;66.250857027183)
Pithias the Architect;(-85.62812180875483;59.82296048577756)
Artazostre the Silence;(-85.80619019920329;60.12301768311068)
Gaspar the Gatekeepr;(-85.38321656639079;60.48562337497364)
Nestor the Formidable;(-89.19499986035476;62.79243434680979)
Sophos the Broker;(-85.77835117143792;63.4473654008042)
Augos the All-Seeing;(-83.74128471874246;62.90014077124456)
Timosa the Physician;(-81.16466693535676;65.68639056879881)
Pactyas the Huntsman;(-79.13543827311372;66.16429546237659)
Bubares the Conspirator;(-78.96463165902276;66.03018032520127)
