Shipyard of Patrai;(-86.21772468854329;63.46375356087987)
Chalkis Warehouse;(-78.19938316943558;64.20238217232765)
Potidaia Warehouse;(-79.30554795064586;65.5891784276486)
Patrai Military Shipyard;(-85.7846105594407;63.44266521286593)
Port of Nisaia;(-80.06962868163527;62.83325864699384)
Sea Captain Dock;(-80.60441572493852;62.31911476162615)
Customs Warehouse;(-76.96430046333836;60.73088581576806)
Melos Port;(-77.56772224365733;59.41817518402978)
Kos Port;(-70.04562843167264;59.8565023372076)
Custom Warehouse;(-74.80850273079005;57.20175405511558)
Customs Warehouse_1;(-70.91090850276157;57.30297931951534)
Phoinikeos Customs Warehouse;(-80.5821600599931;57.05470734888733)
Customs Warehouse_2;(-68.39289760337135;65.5258412329874)
Expropriated Warehouse;(-73.56468435790458;64.89697279000677)
