Sanctuary of Olympia;(-86.19361486228769;61.97183135800186)
Menelaion;(-81.91449259896024;59.69918042026487)
Sanctuary of Asklepios;(-80.49756714032765;61.21577411593398)
Heraion of Argos;(-80.92065988905682;61.63197011740258)
Sanctuary of Isthmia;(-80.83673591822628;62.55252201283822)
Temple of Athena Skiras;(-79.76584766328449;62.30608133033905)
Sanctuary of Eleusis;(-79.43514899692;62.899055719203)
Sanctuary of Aphrodite;(-80.70473125180206;63.36998942143256)
Sanctuary of Athena;(-79.69235375054143;63.30429278456526)
Akropolis;(-77.581632671053;62.534457993995)
Sanctuary of Sounion;(-77.590885094179;61.650244201525)
Akropolis of Karthaia;(-75.55552736549657;61.77218208401145)
Sanctuary of Mt. Zas;(-71.30288760523001;60.70314899827397)
Heraion of Samos;(-69.4784704909722;62.04283185338802)
Knossos Palace;(-71.98429536580318;56.836218768242)
Sanctuary of Delphi;(-83.003758568285;64.524124624971)
