The Hound of Hades;(-81.20085348460873;58.31262408712718)
Hades' Bident;(-86.52143356267561;60.03916519408753)
Eros' Bow;(-86.09248437495069;60.55448443170724)
Herakles' Mace;(-83.7883169735;61.17737254932248)
Pilgrim's Gloves;(-82.11060316110996;61.72274039039444)
Hammer of Jason;(-80.99465019915709;62.03372281113922)
Pilgrim's Hood;(-79.49094778055422;62.87641980268398)
Agamemnon's Gauntlets;(-77.31587788784304;62.123731975023)
Pilgrim's Belt;(-82.27379000841779;65.4277359600819)
The Minotaur's Revenge;(-78.88924746335181;65.69514477877148)
Achilles's Spear;(-78.5356676790733;66.10697569924756)
Herakles's Bow;(-75.10108863616796;65.94398846083085)
Poseidon's Trident;(-68.599662370669;62.88327959759)
Xiphos of Peleus;(-69.78148884679246;59.95239386302261)
Falx of Olympos;(-72.359892041464;59.108805071267)
Pilgrim's Boots;(-75.35830275891868;57.56079352638082)
Pilgrim's Garment;(-82.86611308287786;60.16453818983062)
Fanged Bow;(-71.21722805941658;60.60586895222565)
