Leader House - Thebes;(-79.8059523661043;63.79635196634101)
Leader House - Achaia;(-85.96750704666533;63.38519967436866)
Leader House - Lesbos;(-68.76606686537286;65.56314205007875)
Leader House - Elis;(-88.01176547806716;62.42750256652153)
Leader House - Korinthia;(-81.4848127461346;62.34823821657776)
Leader House - Megaris;(-80.5766362524439;62.94149957702975)
Leader House - Argolis;(-81.8951213739681;61.57811636511808)
Lagos's Compound;(-84.65454052384854;61.36541837909557)
Leader House - Messenia;(-85.50045184293322;59.73333482387061)
Leader House - Lakonia;(-82.598938691287;60.17007532813705)
Leader House - Kythera Island;(-81.2074489538848;57.16876021964378)
Leader House - Melos;(-77.73460582205416;59.51349254584321)
Leader House - Lokris;(-79.9717778404617;64.52638824517648)
Leader House - Phokis;(-84.06930844017103;64.19993471027732)
Euboea;(-77.9027254441076;64.19454269878534)
Lead House - Keos;(-75.33710428762015;61.99088397579343)
Leader House - Mykonos;(-72.43039058934448;61.73018654651843)
Leader House -;(-70.65638668817462;57.08102032146726)
Leader House - Messara;(-72.62076741889439;56.84925782223632)
Leader House (Kos);(-70.16279030722131;59.79027914657534)
Leader House;(-77.79677389961921;66.27456707142433)
