Tomb of Orion;(-78.930856017258;63.705579451681)
Tomb of Eteokles;(-79.838156904991;63.053155583292)
Pheidon's Tomb;(-82.008760434342;61.575915401681)
Agamemnon's Tomb;(-81.150512695313;61.971233986205)
Giant Heroes Burial Ground;(-71.122741699219;60.84491057365)
Alkaios Tomb;(-73.545227050781;60.522157545333)
Tomb of Brizo;(-73.341979980469;61.938950426661)
Tomb of Polybotes;(-69.266052246094;60.175672281944)
Tomb of Eurypylos;(-86.082902049376;63.001696651587)
Tomb of the First Champion;(-86.49262375131;62.323708671889)
Destroyed House of Oinomaos;(-85.576545317543;62.178426545609)
Tomb of the Daughter of Atlas;(-85.537407562591;61.573091661366)
Waterfall of Styx;(-84.577804480187;61.933310019306)
Tomb of the Forgotten Hero;(-81.241937716074;59.696351400992)
Tomb of the First Pythia;(-83.314279971868;64.55303727674)
Artemision Tomb;(-77.887269418959;64.876315877298)
Parmenon Tomb;(-75.256614153754;65.909073543401)
Abandoned Tomb;(-72.523205476329;64.857653938234)
Tomb of Orpheus;(-69.500316352082;65.573254796728)
Stony Sepulchre;(-68.907029609555;64.050090085758)
Tomb of Alkathous;(-80.711750469344;62.92551330177)
Mycenaean Tomb of Ajax;(-79.912917507908;62.478014872488)
