Hungry Gods;(-88.42682150577343;63.81838525194971)
In the Footsteps of Gods;(-88.38927150696156;63.92872594879004)
Merciful Gods;(-88.37261869339375;63.76985482464326)
Photios's Pre-Tirement;(-82.92428182086906;64.52310122216669)
Age is Just a Number;(-83.05017003668735;64.55090373826324)
Making Friends;(-76.82722458894864;60.81954487843225)
Heart of Stone;(-77.2286318499169;60.74844970974374)
\;(-72.27899387133726;61.66781308596262)
The Sokratic Method;(-73.37883966116976;61.65642117127567)
Revenge Served Cold;(-72.73804538603656;56.85482547719538)
Bare it All;(-73.58437643873117;57.01261476546107)
It's Complicated;(-73.49167929517648;56.88979062154559)
School of Hard Knocks;(-75.77738716947249;65.96655965149617)
Tough Love;(-73.55528336171574;64.93665035102899)
Waiting for Galarnos;(-70.76050821115246;65.50471796442015)
Son of a Fisherman;(-70.80235381166915;65.49127049473822)
The Blood Fever;(-88.58861275783568;63.81632930117976)
Shark the Vagrant;(-88.89016412158668;63.97036196194555)
A Ship Came Sailing;(-87.73998449723831;63.52942264558234)
A Small Odyssey;(-87.84949850821613;63.96881085943718)
Tides of War;(-85.91148079205891;63.33770176185941)
Crewless;(-84.17235379857618;64.14182738586732)
Helping a Healer;(-83.7549616683649;64.47455432184003)
The Daughters of Artemis;(-84.12163036953677;64.69175338300646)
Family Values (Lokris);(-80.03936374891134;64.49149723307657)
A Pirate's Life;(-82.83424528795535;63.68255037487009)
A Life's Dedication;(-81.84908784496332;63.83791587416301)
Sibling Revenge;(-81.04441083054053;64.22458942432543)
Inheritance Insurance;(-79.84379096856969;63.745687652161)
The Hunting Party;(-79.74518806115663;63.94536864696926)
Death and Taxes;(-78.1654763760547;64.17458315786193)
Freedom Isn't Free;(-77.91554440391712;64.07144727564626)
Once a Slave;(-75.9118193391974;63.72688970676658)
The Elixir;(-69.68412249401058;65.7895608072118)
Qamra, Medicine Woman;(-69.38131182506527;65.82726569848215)
Shroud of the Bear;(-68.39869894629572;65.61117840468881)
Revenge of the Wolf;(-68.42547812110041;65.5279699040187)
Clothes Make the Daughter;(-68.46600143970363;64.48626381072806)
Artemis's Request;(-68.66907526771269;64.30555355900601)
Chip on Your Shoulder;(-68.26669763714165;64.16234495826852)
Hostage Situation;(-68.59397747053328;64.15626144081102)
Caged and Enraged;(-68.70844313828923;64.08662181382795)
Thank You, Mal\u00e1ka!;(-79.10196006628058;65.63739078025739)
Dead Man Rises;(-78.98932869305361;65.68512145449655)
Again, Mal\u00e1ka?!;(-78.78429177336517;66.02374375202366)
A Curious Request;(-78.97608201965488;65.83770386649658)
A Good Toast;(-77.71059434875644;66.27326326286928)
Theos the Stargazer;(-77.36020571004485;65.81336492360984)
The City that Cried Wolf;(-79.26160263814586;65.82674020444477)
Retribution;(-73.65622025136418;65.17318901302333)
Birds of a Feather;(-75.46599918346271;62.15347736803957)
Give Our Respects;(-86.50265804615378;60.02396159862865)
Say That Again!;(-75.62925939702723;57.09629446405968)
A God Among Men;(-81.33103147344104;57.31801144413005)
A Family's Legacy;(-73.76724439638372;58.47884609713987)
Lore of the Sphinx;(-80.47657462465611;63.8718700158832)
Romancing the Stone Garden;(-70.71066247460078;65.52249184131938)
Love's Long Shadow;(-70.48630472927528;65.75932774770666)
Myths and Minotaurs;(-71.97203270163953;56.80253028593951)
Blood in the Water;(-72.27853409018934;57.19640770018987)
Recollections;(-72.42201256805583;56.72038158974179)
Full Circle;(-73.32219110365747;56.69515831932176)
Creating Opportunity;(-77.63878632209276;62.57562099182545)
Citizenship Test;(-78.23642176818839;62.67040744655205)
A Friend in Need...;(-77.7784444663406;63.24992942327273)
Recruitment Drive;(-75.54887627005769;62.24691453657004)
Lost and Found;(-75.45348793619519;61.04138171041431)
A Sokratic Mess;(-84.2380607292717;64.19216351554927)
We're Not Thieves;(-75.5754809954683;62.1998753920205)
We're Treasure Hunters;(-75.27420837294483;62.00501933919744)
The Stolen Steed;(-79.72139263717708;63.84263886824231)
Brewing Love;(-79.88893414108333;63.81659467311136)
Breaking Bread;(-83.04638685000918;61.05521332127775)
A Fight with Talos;(-88.82482934671282;63.72663107228268)
Lumbering Along;(-88.38580268008695;63.95617385036341)
Mercenary Work;(-88.33073734260108;63.92661345775608)
A Family Ordeal;(-80.05859361590183;62.90375092085549)
The True Story;(-80.07237122253457;62.90509746099947)
Portion Control;(-80.76678275710583;63.07326871733265)
The Missing Map;(-81.2707805598402;63.12204660960421)
Hunting Hyrkanos;(-80.74339954542143;62.91426984661093)
Besieging Bandits;(-81.59775084833996;63.10023497383025)
Prince of Persia;(-80.41392450440577;62.91462471286079)
Sins of the Past;(-83.76678299427999;64.47277896191038)
The Unkindest Cut;(-84.46962329177609;64.54107069085346)
Cave Crusader;(-83.20773166856526;64.50949215390254)
Confiscated;(-80.05158637595457;64.49149723307657)
Fortress Fallout;(-84.35487223312862;64.14252095678901)
Lacerated Leaders;(-84.33152628586299;64.14671321338419)
Dystos Fort;(-77.63354221042209;64.41895273320107)
Blood and Water;(-76.95183788996133;64.09818731831253)
Dagger to the Heart;(-77.84640733329832;64.23004366253444)
Wasn't Born the Kingfisher;(-77.59921380639236;64.39789422692176)
Sharp Tongue;(-77.92723528990143;64.07294841400424)
The Kingfisher and the Robin;(-74.41933865037038;64.29088602001944)
For the People;(-78.12133867240505;62.43486787732595)
He Who Stops;(-78.13369829154567;62.4355033701134)
The Liberator;(-77.20629391326241;62.87766722090765)
Witness Him;(-78.25490300812004;62.66977695032579)
Free Speech;(-77.77666427787801;62.54271243248571)
On a High Horse;(-78.69264938529989;62.44827712724673)
A Life's Worth;(-77.222654041353;61.97128704146883)
Heitor's Gonna Hate;(-77.78965779482257;63.24807501077046)
The Wise Warrior;(-77.62213210684718;62.56834627206933)
In the Midst of Chaos;(-77.62552388643047;62.55509579791224)
Swift as Wind;(-77.65230306123516;62.55319690659485)
Last Request;(-77.67221578096172;62.56047533197907)
The Final Battle;(-77.66328938936016;62.57376177612426)
Designated Rider;(-79.03001348493717;62.31660432053961)
Rock Hard;(-77.77498799568599;62.68454259070084)
Handle with Care;(-82.05338821926381;62.19431388375763)
Across the Border;(-78.96784836203034;62.51437042602958)
Happily Ever After?;(-79.39748627485329;62.85900726426659)
Red in the Wreckage;(-75.57263261809942;62.15925005419695)
Sacred Vows;(-75.48147611084306;62.1545997509573)
She Who Controls the Seas;(-75.49383572998369;62.15716543004304)
Throw the Dice;(-75.50619534912431;62.15973089163337)
Priceless Treasure;(-75.51924161377275;62.16229613574157)
Call to Arms (Melos);(-77.59662215341132;59.53057881062844)
The Great Contender;(-77.58606798770427;59.52652618121179)
Legend No More;(-77.57718957946338;59.52412707600737)
Death Comes For Us All;(-81.51440308309941;61.60531022637915)
Escort Service;(-71.70020112406831;60.92773951290756)
The Writing's On The Wall;(-71.60354153091606;60.91973214532567)
Trouble in Paradise;(-72.46315136963847;61.57096691934545)
Hades, Meet Podarkes;(-72.44190152619382;61.57111255430102)
Kyra with a Cause;(-72.25906523640026;61.6282292634773)
Bleeding Hearts and Stolen Money;(-72.02513758759915;61.68960801835711)
The Thaletas Way;(-71.82026746052708;61.84166834603132)
Paint the Sand Red;(-71.84224011677708;61.84814835500423)
A Night to Remember;(-72.32338890415264;61.63827516907771)
Grin and Bear It;(-73.29847491058757;61.71053464164467)
Goddess of the Hunt;(-72.01122670503429;61.6951434051094)
Minotour de Force;(-70.74960411222872;57.18236267878562)
No More Bull;(-69.5882019397855;56.80362195182025)
Bravely Ran Away;(-70.72557753953834;57.061377034527)
The Grand Minotour;(-70.91583001385936;57.31705703151994)
They Just Want Cruelty;(-69.27968008224377;56.98819499323008)
Heroes of the Arena;(-69.24397451583752;56.97996404645514)
A Business Opportunity;(-69.75993109294501;59.93471344020261)
Old Friends, Old Problems;(-69.90412664958563;60.01751391208876)
Farm in Flames;(-69.89726019450751;60.01133679761625)
Markos's Fate;(-69.87872076579657;60.02266062588982)
Civil Unrest;(-74.9226860181202;57.12499748935296)
The Lost Arkalochori Axe;(-72.3731773106723;57.07997849815898)
Flowers for the Dead;(-72.2243717779362;56.80432787257073)
Catch and Release;(-72.25821414037011;57.20347498006475)
Call to Arms (Mykonos);(-71.80467432408068;61.79672679067516)
Gortyn Out of Hand;(-72.60546963766922;56.791567616867)
Sparring with Roxana;(-78.96310457202753;60.6043431579726)
Archery Practice;(-79.11572954161835;60.66596102544141)
Foot Race;(-78.97840044005585;60.60737629904537)
Fang For Your Buck;(-72.57103711569812;56.767509238038)
Have You Seen My Mikkos?;(-73.54065326121133;64.94450287425107)
