Dystos Fort;(-76.43557010497534;64.16356795380837)
Demiurigi Fort;(-88.79397398505574;62.2014614897215)
Fort Samikon;(-86.6974017020932;61.18204188757915)
Mount Ithome Fort;(-86.56173740004283;60.01264914757142)
Fort of Praisai;(-80.33975070800278;59.92339673867602)
Fort of Arkas;(-82.41196359719788;61.24149775672052)
Fort Tiryns;(-81.21477807848811;61.31853398555016)
Akrokorinth Fort;(-82.22405955992735;62.18474157684608)
Fort Koroibos;(-85.30605243844218;62.27345577314139)
Teichos of Herakles;(-85.54532690115639;62.72699985146165)
Fort Geraneia;(-81.61590928678447;63.10753707715833)
Fort of Plataia;(-80.53466871763715;63.3848025254669)
Fort Phyle;(-78.37174602573862;63.45651315025272)
Military Fort of Gla;(-80.87055924388767;64.07027324910511)
Xerxes Military Fort;(-80.20822441341647;64.4006201388664)
Oreos Quarry;(-78.70388745169794;64.7284332351826)
Pharsalos Fort;(-84.01023031185292;64.87728037798446)
Trachis Fort;(-81.6745168913742;65.51461954168606)
Myrina Fort;(-73.33495291122733;64.97853188048548)
Vrisa Fort;(-69.77394703337751;65.26293062940135)
Koressia Fort;(-75.90082358200829;61.87805582342392)
Miltiades Fort;(-72.28879514944356;61.84011813087466)
Fortified Marble Quarry;(-72.96621949300868;60.62556196803256)
Fort of the Aloades;(-71.08742890483614;60.65793666425747)
Artemisia Fort;(-69.77414868878685;59.9187037457)
Trypiti Fort;(-77.46668657162286;59.49579730746962)
Murex Fort;(-81.43320814515829;57.42213625990853)
Kydonia Fort;(-74.23360481241099;57.2008409350906)
Daidalos Fort;(-72.66760758983366;56.65080306441421)
Fort Lato;(-71.02637479508837;57.01331058282123)
