Lake Abythos;(-88.27155499260846;63.79335300258443)
Drogarati Cave;(-88.42811016838971;63.81275301332489)
Lightning Zeus;(-88.60306885006503;63.91183111881263)
Temple of Zeus Chthonios;(-88.47593434043517;63.62977513614203)
Odysseus's Palace;(-87.89715230137142;63.99104317233789)
Cave of the Nymphs;(-87.91488629622592;64.09929642098804)
Melanthios's Goat Farm;(-88.00346356673373;64.21939645581705)
Melissani Cave;(-88.37313697216285;64.00033018268384)
Temple of Zeus;(-88.39794657115073;63.92340471665528)
Agglaki Cave;(-88.73030520059012;63.87268421972195)
Village of Kausos;(-88.83378573318117;63.74795974558174)
Cave of Tethys;(-88.52253321966907;63.62885196029645)
Kleptous Bay;(-87.8274820454991;63.58200365280032)
Tomb of the Suitors;(-87.69890718174685;63.52509512671316)
Kalydonian Boar;(-84.65679528553494;64.71752822623645)
Chora of Delphi;(-83.84663340154282;64.48224016559426)
Snake Temple;(-83.11392885375636;64.25780453433575)
Kastalian Fountain;(-82.67136639306415;64.49719270391421)
Bouleuterion of Delphi;(-82.98449442912437;64.50221736168743)
Naxian Sphinx;(-82.98037455607749;64.51787885156007)
Athenian Portico;(-82.95634196330406;64.52555856413807)
Sanctuary of Delphi;(-83.01127360392906;64.52349116171507)
Charioteer of Delphi;(-83.07169840861656;64.5143336401911)
Lion of Leonidas;(-82.4147922328516;64.73041098686826)
Xerxes's Sacrifice of the Nine;(-78.26202182331622;66.26491171227183)
Amphipolis;(-77.95444233553638;66.27568825103863)
Red Lake;(-80.52924274469524;64.38846544417599)
Opous;(-80.04584430719524;64.49920499985521)
Burned Temple of Charites;(-81.09037909171508;64.24201327336829)
City of Orchomenos;(-81.30424278238081;64.23932757810162)
Lebadeia;(-81.72583010552387;63.95875019795837)
Sanctuary of the Muses;(-81.65572541266039;63.78180351157909)
Miltary Fort of Gla;(-80.82303726223768;64.07347794454458)
Kadmeia;(-79.71435267463232;63.78103432486839)
Thebes;(-79.6311506626052;63.81201100345083)
Oil Workshop;(-79.74582046240988;63.84138947498548)
Healing Sanctuary of Amphiaraos;(-78.68732975156206;63.64453875237684)
Tomb of Orion;(-78.91392276914019;63.70635153970922)
Pillar of Dionysos;(-80.87751086510502;63.27032031951931)
Ruined Temple of Apollo;(-80.66659523687792;63.10988943657979)
Farm of Tripodiskos;(-80.86276638123246;63.04965581412387)
Pagai;(-81.20334255310746;63.11151886124479)
Fort Geraneia;(-81.62859684543298;63.1073835345025)
Megara;(-80.46402256204442;62.93991094841337)
Sanctuary of Athena;(-80.74607448207195;62.9063209987501)
Persian Trireme;(-80.25865241113985;62.81632777029044)
Prototype Trireme of Ameinokles;(-81.78737337726773;62.74126934015231)
Temple of Poseidon;(-80.93312141348213;62.58411212421667)
Porneion;(-81.48560562652455;62.36767077830248)
Korinth;(-81.67580643218861;62.44495762788667)
Port of Lechaion;(-81.67919268497053;62.59939337604753)
Temple of Aphrodite;(-82.00815855630123;62.19572705412502)
Spring of Peirene;(-82.26702391274654;62.22092555644015)
Mycenae;(-81.01727103394495;62.06544565470462)
Agamemnon's Tomb;(-81.13904279059284;61.9720210186262)
Lighthouse of the Father of Ajax;(-79.94668048510141;62.19353635940465)
Akropolis of Karthaia;(-75.56342059686426;61.78646858448227)
Poiessa Village;(-75.3376632421959;62.02712965344631)
Koressia;(-75.46256452012705;62.18808580375308)
Temple of Achilles;(-74.01749163527626;64.3124631478944)
Skyros;(-74.1623738374247;64.31305841240442)
Eumaios's Pig Farm;(-88.01481669289313;64.14531182830818)
Persian Cliff;(-80.57510322167343;63.10561801830897)
Tomb of the Amazons;(-80.29478229506407;63.05448702225606)
Stone Pyramid;(-80.57768024428282;63.0289616605642)
Diolkos West Ramp;(-81.39808216338474;62.78792484640913)
Grave of Sisyphos;(-80.80484613909323;62.67781679359423)
Argo Wreckage;(-81.02182611956198;62.60334414263492)
Sinis Torture Grounds;(-80.72382196917135;62.52298215777459)
Diolkos East Ramp;(-80.58511957659323;62.56667032755354)
Altar of Melikertes;(-80.5837462855776;62.50206514337793)
Port of Kechries;(-80.71970209612448;62.39799894716325)
Sea Captain Dock;(-80.60409882656802;62.33622199974549)
Salamis;(-79.72233690117395;62.50699240062093)
Temple of Athena Skiras;(-79.7745219597677;62.30770907019089)
Dromos;(-81.52963107300252;62.30903606842045)
Fountain of Peirene;(-81.58593600464314;62.38297290801216)
