Amphipolis;(-77.968698454897;66.269181714338)
Thasos City;(-75.67541035625732;65.96215074434713)
Lamia City;(-82.300860228014;65.193145705854)
Lalaia;(-83.731655934652;64.933045068119)
Kirrha;(-84.329884111208;64.198318744946)
City of Orchomenos;(-81.29035397628297;64.22390509141965)
Opous;(-80.045879478058;64.511675387068)
Thebes;(-79.64722949962163;63.81297201148887)
Chalkis City;(-77.941694742804;64.146999909014)
Myrina;(-73.509513140053;64.935331493014)
Megara;(-80.478213808508;62.939340679085)
Korinth;(-81.693315484254;62.444433246493)
Patrai;(-85.906894099065;63.416505383602)
Elis;(-87.997057547989;62.3306110984)
Tegea;(-83.884994362784;61.255093156862)
Nauplia;(-81.682271280538;61.323945969529)
Argos;(-81.840611961601;61.621672871211)
Epidauros;(-80.167875313897;61.470685208627)
Sparta;(-82.63015137236;60.123302486828)
Aipeia;(-85.62700137208844;59.75897166359818)
Melos;(-77.651602391466;59.507039160769)
Kythera Town;(-81.18581335180568;57.17331095261986)
Kydonia;(-74.887277390639;57.13089092423)
Gortyn;(-72.546410901411;56.785560422584)
Lato;(-70.727490687364;57.074439032346)
Astypalia City;(-70.174429471558;59.851213826417)
Naxos;(-71.5571413082215;60.90053540306008)
Paros Harbor;(-73.22272635090627;60.69595283912216)
Sanctuary of Apollo;(-73.516909768978;61.680502254086)
Pythagoreion;(-68.842380066857;62.015013479471)
Koressia;(-75.478269569606;62.186145899145)
Chios;(-68.57572809156875;64.13660344908723)
Mytilene;(-68.55993734900483;65.54958278795512)
Athens;(-77.825092760144;62.529084960571)
Port of Piraeus;(-78.806995836316;62.402115887304)
Salamis;(-79.702211736585;62.494743771948)
