Temple of Herakles;(-75.76879414531982;65.90783165258583)
Temple of Artemis Laphria;(-85.93776058231401;63.25731826339106)
Sanctuary of Athena Pronaia;(-82.62168154471965;64.38873215333591)
Bouleuterion of Thebes;(-79.63182412923823;63.86471533243279)
Akropolis of Thebes;(-79.80211221517573;63.89252806245131)
Healing Sanctuary of Amphiaraos;(-78.69344168001521;63.64869254096717)
Eleusis Telesterion;(-79.45212171206435;62.87033256329127)
Temple of Hephaistos;(-78.14043585197379;62.68786920432117)
Temple of Asklepios;(-77.63700031475355;62.46998876945891)
Temple of Poseidon;(-77.55557354448308;61.63083658409379)
Militarized Temple of Megara;(-80.75919239210111;62.90598356637977)
Temple of Poseidon_1;(-80.90613453077299;62.58114427785503)
Temple of Aphrodite;(-80.66402320238103;62.45708656718615)
Akropolis Treasury;(-81.779400103753;62.44339689731229)
Sanctuary of Poseidon;(-83.12731057678229;62.61951459903736)
Temple of Zeus;(-83.81599586988392;62.81935481051197)
The Bloody Oracle;(-81.69082872333178;61.75765710261454)
Akropolis of Argos;(-82.10899583758959;61.6984644613425)
Sanctuary of Hera;(-80.87617991661813;61.61059379028851)
Epidauros Akropolis;(-80.2359130223939;61.47959455859493)
Asymmetrical Temple;(-82.70511449503795;61.47853154248107)
Temple of Demeter and Kore;(-83.79510943810044;61.18122948120094)
Temple of Apollo;(-86.57296652905978;61.49108748624395)
Temple of Hades;(-88.21931779863257;62.3245061349506)
Temple of Apollo Korythos;(-85.77551314499192;59.82307105655013)
Temple of Athena;(-82.86333424057864;60.16229198167214)
Temple of Artemis Orthia;(-82.04612211487301;60.23485562436452)
Grand Temple of Apollo;(-73.47143590582863;61.66112724191277)
Heraion Treasury;(-69.40390826282339;62.02922575169038)
Temple of Athena_1;(-73.22776217998597;60.73055527459929)
Temple of Demeter;(-71.56696556440431;60.67855439573034)
Apollo Sanctuary;(-69.67817499942271;60.10440907751595)
Lato Treasury;(-70.60764615558469;57.22427901804917)
Temple of Poseidon_2;(-72.36198448706301;57.07160758507423)
Temple of Athena Poliouchos;(-72.77740501928957;56.86462345237496)
Temple of Demeter_1;(-72.66756660375916;56.76659188679189)
Temple of Britomartis;(-75.33888312916542;57.53590947464516)
Shrine of Fates;(-80.85148280273086;57.13088015532389)
Temple of Aphrodite_1;(-81.26098613416332;57.4330226649818)
Altar of Aphrodite;(-81.34681682263988;57.52973270929061)
Desecrated Sanctuary;(-73.57851849889084;64.99773281668915)
