Wreckage of the Lost Bandit Camp;(-88.648227420768;63.492656877249)
Islet of Zeus;(-88.285299387508;63.468503706171)
Ruins of Arne;(-80.99017789599645;63.93953850335005)
Sunken Temple of Aphrodite;(-78.899309392885;64.311984808869)
Smuggler's Shipwreck;(-76.962994678969;63.954355729491)
Palace of Amphitrite;(-72.41818154858447;59.08913577131744)
Ketos Shipwreck;(-83.014136571311;63.910698052572)
Shark Bay;(-68.85901786944152;65.81210019150502)
Underwater Cavern;(-78.778890846154;65.585772911861)
Ktesipos's Shipwreck;(-88.090086166051;63.936959032292)
Shipwreck Cove;(-83.67027140304151;63.10472556955437)
Stormfall Bay;(-70.87754346523707;66.01627400436104)
Poseidon's Fury;(-85.658440149369;63.730245021863)
Sunken Temple of Demeter;(-84.63835918576274;63.38170226510359)
Prototype Trireme of Ameinokles;(-81.801399468182;62.739667401023)
Alekto Shipwreck;(-82.20376819795;63.390485512276)
Underwater Ruins of Dyspontion;(-87.21445882160481;62.18764412621542)
Olympic Shipwreck;(-88.80269578521478;61.87993625611935)
Shipwreck of Nestor;(-86.4409043196681;58.87228849168621)
Dorion Underwater Cave;(-83.6702040418;57.813132075905)
Pavlopetri;(-81.3479201699933;58.33119098466617)
Nereides Monument;(-81.34573256678;60.855651565644)
Aigisthos Palace;(-79.110432838055;61.233690059091)
Shipwreck;(-77.817304266913;61.044867350421)
Polydektes Lagoon;(-76.844961706108;60.901030792677)
Sunken Ruins;(-76.114732997532;57.302636903997)
Anaphi Shipwreck;(-71.99003199393;58.2975142905)
Sunken Temple of Eileithyia;(-72.251810312807;57.476717588664)
Hermit's Dive;(-72.51754212433;57.373522692704)
Cave of Wealth;(-70.547401834015;57.058295613459)
Shipwreck of Dionysos and the Pirate;(-71.70463988192404;60.54637412502238)
Shipwreck of Ajax;(-72.20369171469;61.963512357696)
Ruins of the Sea People;(-72.832574434541;61.648080156766)
Sunken Wreck of Datis;(-73.69243782189;61.418274907452)
Submerged Minoan Palace;(-75.97675635372445;61.49540545112225)
Vouliagmeni Sinkhole;(-78.114011558693;61.921486211011)
Phaleron Sunken Harbor;(-78.330304893654;62.265669191077)
Ariabignes Shipwreck;(-79.613841594534;62.677516277293)
Phoibean Lagoon;(-80.475741575846;62.047368257686)
Underwater Cavern_1;(-76.302241541701;62.473690690067)
Purrhos the Red;(-81.439589331522;65.21929496017)
Persian Remains;(-81.30810200219;64.867989848526)
