Machaon the Feared;(-85.7714852180934;63.43845202130497)
Polemon the Wise;(-85.52575360459412;62.76000360784942)
Kallias;(-85.93027305375188;61.98413208813672)
Midas;(-81.83539349178312;61.61295480396134)
Sotera;(-80.0500332356088;62.81568570560489)
Brison;(-79.90784383388575;62.65087721825862)
Hermippos;(-78.15841939103018;62.69166361375212)
Nyx the Shadow;(-77.3683761747771;62.45448680851538)
The Master;(-77.25202955319298;61.96834079247886)
Okytos the Great;(-77.57200635983361;61.639046236147)
Exekias the Legend;(-83.5847588296972;62.76440165229827)
Harpalos;(-75.4858254259093;61.93352803996135)
Zoisme;(-82.7592890395058;65.28759667750361)
Iokaste the Seer;(-69.37607746287733;64.4180399353117)
The Mytilenian Shark;(-68.48541443113919;61.21101504271366)
Melanthos;(-76.81998602028341;57.30636172557931)
The Octopus;(-73.432840756843;57.73806579702443)
Asterion;(-73.87391049511427;63.44145240548468)
The Hydra;(-87.329624921696;57.414826411996)
Skylax the Fair;(-78.07479805057221;64.4280836311557)
Lagos the Archon;(-87.12762654376502;61.14500132135909)
The Silver Griffin;(-72.53638474652962;61.4205648459257)
Iobates the Stoic;(-73.59077229077207;64.99802534499291)
The Chimera;(-73.42219854374378;62.59453733992282)
Melite;(-74.8262818775828;57.00383946554042)
Swordfish;(-72.52575332874204;57.37043132650642)
Pausanias;(-82.66620504749812;60.06917123379726)
Elpenor;(-83.09028390794992;64.2515522239475)
Epiktetos the Forthcoming;(-83.02567686885595;64.53176883121628)
Deianeira;(-81.57921183854342;63.82147224941986)
Rhexenor the Hand;(-78.23609512299299;62.73770331887474)
Monger;(-81.6463240608573;62.49464187235667)
Pallas the Silencer;(-84.97183073312043;63.14978961832685)
Ghost of Kosmos;(-81.04514144361019;61.64334432159179)
Chrysis;(-81.41437198966742;61.55401426262215)
Deimos;(-83.54178182780741;60.06399336191844)
Sokos;(-77.62534942477942;59.49637764233665)
Diona;(-81.35308016091585;57.53944252719538)
Belos the Beast of Sparta;(-69.28109038621187;56.95354817681101)
Silanos of Paros;(-73.02710674703121;60.83993653722287)
Podarkes the Cruel;(-72.42964401841164;61.72158344184212)
Kodros the Bull;(-68.73954802751541;65.56504604659757)
The Centaur of Euboea;(-76.60865709185599;64.50492315676564)
Kleon the Everyman;(-77.4253649264574;66.1418110688438)
