Secret Pool Entrance;(-81.61767535121726;63.08478379420079)
Unmarked Cave Entrance;(-81.54901080043601;63.12174844365166)
Clue for Machaon the Feared;(-83.73468641951831;63.0931621752961)
Polydektes Lagoon;(-76.857202240695;60.908478239743)
Polydektes Lagoon_1;(-76.820123383273;60.865382333035)
Abandoned Mines;(-77.044656464328;60.927502080527)
Snake Temple Cave;(-83.129141053405;64.24017285375)
Cave of Kratos;(-82.475795426534;64.696889344455)
Korykian Cave;(-83.302551522483;64.447842220687)
Forgotten Isle;(-82.826220651057;63.64506360552)
Forgotten Isle_1;(-82.71841730633;63.587088135533)
Unmarked Melissani Cave Entrance;(-88.447802083393;63.943988991746)
Underwater Cave;(-75.572680426694;61.973991833502)
Cave of the Oracle;(-81.367541383603;63.787724254643)
Unmarked Tomb;(-81.23096044152;64.201328614407)
Underwater Cavern.;(-80.467948655916;64.394661095688)
Shipwreck of Ajax;(-72.209846597668;61.970289282844)
Miltiades Fort;(-72.297737222669;61.842611916327)
Miltiades Fort_1;(-72.407600503919;61.795592328753)
Porphyrion Cave;(-72.262548952298;61.63153510066)
Wailing Cavern;(-75.450219979895;60.992823073465)
Heraklea Bandit Camp;(-82.873474332565;64.898622661735)
Tomb of Menoikeus;(-80.198626108305;63.79528655556)
Alekto Shipwreck;(-82.196992091935;63.403100021684)
Unmarked Tomb_1;(-81.337390495231;64.166043612168)
Unmarked Cave;(-77.422887651491;59.376546286177)
Unmarked Cave_1;(-77.374822465944;59.419191743488)
Cryptic Cavern;(-72.50116011271;65.213689778)
Ancient Stronghold;(-72.381683794351;65.141913992921)
Ancient Stronghold_1;(-72.501160112701;65.097714301096)
Wild Cave;(-73.752260676719;63.984768997657)
Cave of Mt. Zas;(-71.188279371246;60.703357045466)
Cave of Mt. Zas_1;(-71.493836622223;60.670748794951)
Agamemnon's Tomb;(-81.0991278204;62.02145858722)
Cave of Pan, Argolis;(-80.611521497055;61.614499526608)
Cave of Danaos;(-79.603863143587;61.041631555518)
Fort Tiryns - Treasure;(-81.195486734443;61.279798498293)
Fort Tiryns;(-81.071171456933;61.266278329875)
Unmarked Cave_2;(-86.561388147205;61.952026527362)
Idean Cave;(-85.998462596168;62.537683943095)
Fort Koroibos;(-85.312426138837;62.284379848876)
Fort Koroibos_1;(-85.44014220329;62.267130147098)
Teichos of Herakles - Treasure;(-85.574080928363;62.691525225592)
Teichos of Herakles;(-85.515029414691;62.736224244257)
