Odysseus's Palace;(-87.90322058706363;63.98486381032046)
Temple of Athena Itonia;(-82.02688940182236;63.82840574401271)
Altar of Poseidon;(-75.49296557943177;63.65323957478574)
Ruined Sanctuary;(-69.84482986428975;65.41997506737036)
Lost Shrine of Poseidon;(-68.71912261481754;65.35786445720011)
Xerxes's Sacrifice of the Nine;(-78.2749074784461;66.26656994144584)
Temple Ruins;(-69.11681998451672;65.5298721136331)
Ancient Sanctuary of Zeus;(-69.36126578529797;65.70505318574645)
Temple of Kybele;(-69.68604911049329;65.77834537000398)
Anavatos Ruin;(-69.30272524005164;64.3916912353625)
Ruined Temple of Athena Poliouchos;(-68.92813528019053;63.50096571112319)
Deathbed of Ariadne;(-71.41313344065463;60.78378577703742)
Zakros;(-69.49441347562731;56.721576208447)
Phaistos Theater;(-73.64498415053708;56.5470115185408)
Lost Minoan Shrine;(-73.00854033402305;57.09150843332126)
Diakofti Ruins;(-80.47022407608188;57.41374913404314)
Mycenaean Ruins;(-81.05025705859214;56.92262848424388)
Burned Temple of Apollo;(-82.38696456349027;59.49069220379698)
Palace of Aphareus;(-86.07855254031631;60.04557274373055)
Origins of the Karyatids;(-85.67709497180033;60.99831313050871)
Spring of Piera;(-86.68295178980622;61.98932971271972)
Dyspontion Ruins;(-87.14163098902497;62.06244332852186)
Ruins of Helike;(-84.51285704176661;63.1021726547108)
Ruined Temple of Apollo;(-82.37762609549367;62.56352400768696)
Kephisos's Sanctuary Ruins;(-82.01799014814458;62.06083240072635)
Mycenae;(-81.03376357654446;62.06314824305129)
Ruined Temple of Zeus;(-81.1691348381795;62.32071415600561)
Altar of the Cyclops;(-80.63942158358066;62.65390707044606)
Zeus Ephesos;(-80.74310505526034;62.83033033498062)
Ruined Temple of Apollo_1;(-80.67032063143222;63.10870880350169)
Pillar of Dionysos;(-80.8636343797275;63.26882726464518)
Palace of Hippomedon;(-82.29077570448146;61.44881173025276)
Asine Ruins;(-81.11833933347214;61.04547232778092)
Club of Herakles;(-79.99673745801073;61.2343041571087)
Ruined Sanctuary of Ajax;(-80.00812233100743;62.33089557405108)
Burned Temple of Hera;(-78.11893896955308;62.28310759978891)
Tower of Askre;(-81.39080481427965;63.9237560626022)
Solitude Tower;(-81.73559919936633;64.31368923108771)
Tomb of Tityos;(-82.46673933073703;64.2260604245127)
Snake Temple;(-83.0907561007188;64.26317207432014)
Temple of the Golden-Bowed Goddess;(-82.27785128836035;65.42090518525188)
Apollo Temple;(-76.31613545307152;64.36690912155534)
Seaside Altar;(-76.68056569181067;64.59642623522825)
Prometheus and the Birth of Humankind;(-83.72721119953144;64.30100809847534)
Grave of Tereus;(-80.70891062021724;63.02882232554216)
