Agglaki Cave;(-88.735234439936;63.87994031152064)
Temple of Zeus Chthonios;(-88.45945484824767;63.6267251015162)
Wolf Cavern;(-89.19556150426138;63.70196710744006)
Hera Lake;(-75.96331775228333;63.97080988709139)
Fog Marsh;(-76.83821166370865;64.12257130804979)
The Bloodthirsty Fang;(-80.00716446880881;64.0707807741251)
Fisherman's Bay;(-69.91602489238869;65.61038824046307)
Huntress Outpost Camp;(-68.944667209312;64.1891228641854)
Bear Den;(-79.48678673899298;66.32223376188549)
Therme Wetlands;(-80.5348252958371;66.01573225706669)
Wild Leopard;(-81.31344523367943;65.44485026267613)
Wild Boar;(-81.79821696219506;65.46652777066264)
Wild Bear;(-82.75734643597588;65.28934949469264)
Wild Wolf;(-82.05216149945244;65.06652994035814)
Salty Bear;(-80.40425421922174;64.52937209501061)
Wolf Den;(-82.35026358707341;64.30616628993086)
Bear Grotto;(-83.22998802004804;64.821754980484)
Tomb of Menoikeus;(-80.20044401909428;63.76263449398908)
Narkkissos;(-81.87336310614154;63.45409527439628)
Wolf Den_1;(-82.89731199982583;62.7801287739352)
Bear Den_1;(-84.32060107406147;62.68767181328114)
Stable of Augeias;(-87.47328034473173;62.35070449089111)
Den of Lykaon;(-84.63331987832419;61.78823054950667)
Cave of the Dead Wolves;(-81.67150492214182;62.1897269560001)
Learna Swamp;(-81.98881056233193;61.38385280060949)
Cave of Danaos;(-79.42753939552517;61.04034043801868)
Hermit's Summit;(-78.69621846515872;60.65486816226659)
Abandoned Camp;(-79.01209262992535;61.75818875564945)
Giant Boar Hideout;(-86.593404355388;60.469064711472)
Bear Den_2;(-84.83838643685687;60.6184383745898)
Lair of the Wolves;(-83.24645393395474;60.43629635255878)
White Bear Cavern;(-84.53083436912812;59.18657164624671)
Boar Fighting Club;(-82.18067021684283;59.93612933665161)
Parnes Hunting Grounds;(-77.81884702003401;62.98231715793434)
Cave of the Many Lions;(-77.07071822277231;63.0886327868789)
Cave of the Lion;(-75.20592234540635;62.24674558878542)
Lion's Den;(-73.36360717172931;61.39816149774716)
Lost Bear Den;(-73.15234583544895;62.0833934968442)
Lykos Ruins;(-71.91552295695504;61.77997082512215)
Myceanean Akropolis;(-72.9440248003342;60.80149198753567)
Ammitis Beach;(-71.40765463357695;61.01676814011358)
Routsouna Waterfall;(-71.29092489724883;60.89075185807052)
Alektryon's Rest;(-70.82024491192652;60.35123209168109)
Wild Cave;(-73.79392897542834;64.04814518652603)
Poliochni Ruins;(-72.55873730547381;64.88810207074145)
Thieves' Cave;(-69.19643670600618;63.78407391257986)
Temple of Poseidon;(-68.61395967915757;62.88280064594039)
Growling Cave;(-75.72082059862248;61.64468149349796)
