Sami;(-88.279733314452;63.923687326772)
Village of Kausos;(-88.837843503714;63.732212318097)
Potidaia;(-79.264510744233;65.553448449247)
Chora of Delphi;(-83.815047708183;64.48551155136)
Alponos;(-81.064104016114;64.656583167301)
Lebadeia;(-81.74524123823772;63.96225866133504)
Port of Kreusis;(-81.64602245436004;63.50227230653173)
Mykalessos;(-79.29591362294713;64.08205600513412)
Eretria;(-77.051387316593;64.070053511379)
Panormos;(-81.01346596894564;63.23157730154826)
Pagai;(-81.18579569033375;63.11005323724987)
Dekelia;(-77.855079334545;63.28970624021)
Mt. Pentelikos;(-77.080512574138;62.786183577409)
Fishing Village;(-77.885918676894;62.17447816054)
Lavrio;(-77.297277911759;62.006377361947)
Port of Kechries;(-80.724964672023;62.396802032872)
Poiessa Village;(-75.322307876502;62.026163417808)
Pellene;(-83.7001218017491;62.92071299351767)
Boura;(-84.6827115234288;62.73099260944636)
Stymphalos;(-84.1842218984064;62.41028896839666)
Dyme;(-87.56535889329814;62.78266652585046)
Kyllene;(-88.82699227045282;62.05590772483308)
Linou Farm;(-87.94016196314635;61.84663481251829)
Phigaleia Fishing Port;(-86.72939624578271;60.86457523001698)
Messene;(-86.00202350034675;60.40841498329321)
Pitana;(-83.15659689669155;60.18208072860664)
Mesoa;(-82.79542135958218;59.89884510787113)
Limnai;(-82.13702107980072;60.16760454411954)
Geronthai;(-81.79401488908508;59.99569604072968)
Akriai;(-81.69834204020412;59.82325585745846)
Krokeai;(-81.93044633527694;59.41590831424804)
Smuggler's Port;(-81.99413637607086;60.91613955843627)
Small Settlement;(-79.137454300493;60.528358198932)
Chora;(-76.980155924935;60.802557622061)
Murex Dyeing Facility;(-81.53049810024;57.405281862125)
Skandeia Harbor;(-80.70383116034697;57.04874493448252)
Daktyls Depleted Mine;(-75.683934296471;57.117158018468)
Phaistos Village;(-73.551862118352;56.513090548985)
Heraklion;(-72.256848690617;57.143493843706)
Lato Harbor;(-70.957028744328;57.324471914653)
Warrior's Rest;(-70.137074390826;56.940746215305)
Herb Fishing Village;(-69.247770216267;60.306066470246)
Apollonas;(-71.08831266791367;61.02073633580215)
Mykonos City;(-72.317743895931;61.6400748538)
Kazania Fishing Village;(-68.571695623815;62.25819913172)
Skyros;(-74.175644695477;64.312880642411)
Eresos;(-70.74510149753803;65.49782653930122)
Fishing Village_1;(-81.58063079631648;65.34372013534177)
Village of Gytheion;(-82.768676075123;59.24811336409)
