Blacksmith;(-88.27498809140064;63.94829234619025)
Blacksmith (Amphipolis);(-77.89797396759207;66.24208644178864)
Blacksmith (Thasos City);(-75.59301289531982;66.04648012581418)
Blacksmith (Kirrha);(-84.38897328279876;64.15204716983389)
Blacksmith (Chora of Delphi);(-83.85834751162372;64.47584485231265)
Blacksmith (Delphi);(-83.05596965762436;64.46477505431618)
Hephaistos's Workshop (Myson Cave);(-82.24472497443617;65.53601758505474)
Blacksmith (Myrina);(-73.50268842960901;64.90541395024016)
Blacksmith (Eresos);(-70.77812192191539;65.50295676365533)
Blacksmith (Mytilene);(-68.48000411613197;65.55137353419533)
Blacksmith (Chios);(-68.45950317352509;64.15939656077106)
Blacksmith (Skyros);(-74.15349496161718;64.28493829420852)
Blacksmith (Pythagoreion);(-68.80407703954012;62.02797821360768)
Blacksmith (Mykonos City);(-72.36557252101181;61.66670298423816)
Blacksmith (Koressia);(-75.57842601620712;62.19112587719102)
Blacksmith (Naxos);(-71.54026314578783;60.85599443078412)
Blacksmith (Paros Harbor);(-73.24268233139549;60.67368886870177)
Blacksmith (Astypalia City);(-70.1461173640767;59.88250953830228)
Blacksmith (Chora);(-76.9215158092191;60.776436000078)
Blacksmith (Small Settlement);(-79.23345123402379;60.54091236380003)
Blacksmith (Melos);(-77.56421235188361;59.47920389990618)
Blacksmith (Kythera Town);(-81.07753912151645;57.2314595447711)
Blacksmith (Daktyls Depleted Mine);(-75.63939230664266;57.10028593186417)
Blacksmith (Kydonia);(-74.65586774193116;57.10072587542997)
Blacksmith (Gortyn);(-72.63959066608317;56.74125416082966)
Blacksmith (Lato);(-70.68461017021491;57.17457143617482)
Blacksmith (Warrior's Rest);(-70.16705365276414;56.92489657862612)
Blacksmith (The Arena);(-69.32353644854152;56.95795226296613)
Blacksmith (Chalkis City);(-78.04531700571073;64.1613250416446)
Blacksmith (Thebes);(-79.68136647686714;63.84379995393888)
Blacksmith (Spartan Military Camp);(-79.31226117385046;63.39168212339114)
Blacksmith (Dekelia);(-77.7125836727497;63.32749788457285)
Blacksmith (Megaris);(-80.81616393791552;63.1516894410679)
Blacksmith (Megara);(-80.33170555916081;62.89869991752762)
Blacksmith (Salamis);(-79.73975066552919;62.47479292675684)
Blacksmith (Port of Piraeus South);(-78.84760411728064;62.21892369994201)
Blacksmith (Port of Piraeus North);(-78.80962024340818;62.47381228994738)
Blacksmith (Athens North);(-78.03371081958005;62.61406157031613)
Blacksmith (Athens South);(-77.68146265827079;62.34544117835783)
Blacksmith (Fishing Village);(-77.9456876801886;62.1546633228554)
Blacksmith (Korinth);(-81.59259878273053;62.35620237660955)
Blacksmith (Pellene);(-83.71071987695353;62.93665156615593)
Blacksmith West (Patrai);(-86.10119984119382;63.40918764297049)
Blacksmith East (Patrai);(-85.9844701048657;63.41594861873837)
Blacksmith (Elis);(-87.86264058543628;62.30266471365384)
Blacksmith (Stymphalos);(-84.2070011615209;62.42707560713623)
Blacksmith North (Tegea);(-83.68371727278543;61.29639378108185)
Blacksmith South (Tegea);(-83.66655113509012;61.28880789619499)
Blacksmith South (Argos);(-81.82525895253207;61.48569193196453)
Blacksmith North (Argos);(-81.86371110096957;61.60706453793541)
Blacksmith (Sparta);(-82.47085907438645;60.16204222456243)
