Orichalcum Ore;(-87.760961428314;63.772266277938)
Orichalcum Ore_1;(-88.015706911712;63.87247080277)
Orichalcum Ore_2;(-87.997824688777;63.540773385468)
Orichalcum Ore_3;(-87.81848177642;63.4315922653)
Orichalcum Ore_4;(-88.268060340819;63.788843202993)
Orichalcum Ore_5;(-88.132555464897;63.475951803897)
Orichalcum Ore_6;(-89.103551006215;63.74938438073)
Orichalcum Ore_7;(-89.16122922887075;63.6209310797846)
Orichalcum Ore_8;(-89.295811748402;63.848823253407)
Orichalcum Ore_9;(-88.829581468327;63.856048607274)
Orichalcum Ore_10;(-87.524516221109;63.541303898388)
Orichalcum Ore_11;(-87.495677109781;63.434639001444)
Orichalcum Ore_12;(-87.955729600016;63.650619082609)
Orichalcum Ore_13;(-88.400675889078;64.021205750577)
Orichalcum Ore_14;(-88.516032334391;64.321557328166)
Orichalcum Ore_15;(-88.069712754312;64.23692704926)
Orichalcum Ore_16;(-84.98938234655043;63.93056147369769)
Orichalcum Ore_17;(-84.812227805535;64.299864616444)
Orichalcum Ore_18;(-84.643313010613;64.332600035994)
Orichalcum Ore_19;(-84.566408713738;64.244423461818)
Orichalcum Ore_20;(-84.166781028191;64.309986989861)
Orichalcum Ore_21;(-84.66253908483168;64.47617455423226)
Orichalcum Ore_22;(-83.32771572443659;64.2515901526895)
Orichalcum Ore_23;(-83.054430812327;64.307016929963)
Orichalcum Ore_24;(-82.81822475763971;64.23070177210181)
Orichalcum Ore_25;(-83.38814052912409;63.97940970548633)
Orichalcum Ore_26;(-83.12034878107721;64.0858411161687)
Orichalcum Ore_27;(-82.98027309748346;63.99506914206119)
Orichalcum Ore_28;(-82.81685146662409;64.0786382497371)
Orichalcum Ore_29;(-83.35518154474909;63.71975976550167)
Orichalcum Ore_30;(-82.5483730730694;64.04365327296458)
Orichalcum Ore_31;(-82.20367702814752;64.23801988468246)
Orichalcum Ore_32;(-82.49069485041315;64.37199179258516)
Orichalcum Ore_33;(-82.222903102366;64.50354049994)
Orichalcum Ore_34;(-82.36847195002252;64.65033855538847)
Orichalcum Ore_35;(-83.10180935236627;64.65151445517797)
Orichalcum Ore_36;(-83.48083767267877;64.6662089049775)
Orichalcum Ore_37;(-83.5041836199444;64.80453292136227)
Orichalcum Ore_38;(-83.50487026545221;64.8302439557774)
Orichalcum Ore_39;(-83.6524990496319;64.8302439557774)
Orichalcum Ore_40;(-83.57696804377252;64.87313836899872)
Orichalcum Ore_41;(-83.581774562327;64.92149477694)
Orichalcum Ore_42;(-83.54126247736627;64.93255206703586)
Orichalcum Ore_43;(-83.77609524103815;64.96773043457752)
Orichalcum Ore_44;(-83.95118984553034;64.93836986162539)
Orichalcum Ore_45;(-83.92097744318659;65.06256829548967)
Orichalcum Ore_46;(-84.27597317072565;65.02809441989147)
Orichalcum Ore_47;(-84.52316555353815;64.94302318791541)
Orichalcum Ore_48;(-84.56642422053034;64.75010834822409)
Orichalcum Ore_49;(-82.7116895063154;64.891749997064)
Orichalcum Ore_50;(-82.8160596235029;65.03645782629329)
Orichalcum Ore_51;(-83.36278045545339;65.161637887466)
Orichalcum Ore_52;(-82.038927916391;64.780504971379)
