Ashes to Ashes (Riddle);(-88.51787441187162;63.8019185126202)
Bottomless Lake (Riddle);(-88.393378257751;64.001820036903)
Fatal Attraction (Riddle);(-87.88124793081363;64.02872224560078)
Helios's Greetings (Riddle);(-77.80505270863705;66.23418672807705)
Pressed for Time (Riddle);(-83.76011558836967;64.29949910796795)
A Finger Tip (Riddle);(-83.567290223431;64.136121581771)
A Specific General (Riddle);(-82.56899097980818;64.38121420321593)
Pigsty (Riddle);(-81.64899721325287;63.5487712364779)
Fire in the Belly (Riddle);(-81.36197939098724;63.93562750675218)
Stadium Love (Riddle);(-79.80030358558838;63.79351318365535)
Bridging the Gap (Riddle);(-79.28403937980681;64.1156672059756)
Red Scent (Riddle);(-79.94955446981874;64.53541899806888)
Heart and Sole (Riddle);(-82.31302252892101;65.17759923004813)
A Deal For Freedom (Riddle);(-78.72518632923595;64.71360752031741)
Beneath Theseus's Dreams (Riddle);(-74.12568856854557;64.09884432992598)
Happy Hour (Riddle);(-80.40439764190171;63.14295789759918)
Hound Docked (Riddle);(-80.91679906090104;63.02391009909709)
Record Sunshine (Riddle);(-80.56844472539456;62.93657752618319)
Elbow Greece (Riddle);(-78.73578551324329;62.97974090290598)
Goat's Gruff (Riddle);(-77.76434172059874;63.33160704697157)
Killer View (Riddle);(-77.24980847129586;62.87061322100651)
Backstage Pass (Riddle);(-77.60936774584468;62.36027712781554)
Odor in the Court (Riddle);(-79.6267608593335;62.69654664110288)
War Eagle (Riddle);(-79.87620061652586;62.66155638755276)
Pride of Place (Riddle);(-75.45361547363507;60.97219449757447)
Smoke Signal (Riddle);(-75.33917992831789;61.99032627751391)
Turning Tides (Riddle);(-80.60244930014778;62.31100573921915)
Rock and Roll (Riddle);(-81.4106310628431;62.81305091300487)
Stone Cold (Riddle);(-81.72567873699995;62.39682465272499)
Belly Flop (Riddle);(-83.128875218551;62.61843255053456)
Showboat (Riddle);(-84.48220476244614;63.15518288749598)
Dye Dye Dye (Riddle);(-85.519780591285;62.705469293938)
Farming Coin (Riddle);(-83.75505296999012;62.10319144421752)
Sweet Tooth (Riddle);(-84.66259993911376;61.37328559915888)
Strange Disease (Riddle);(-86.57473399373481;61.50402746772373)
Hobby Horsing (Riddle);(-85.15816627418235;60.83566354148754)
Tastes Like Chicken (Riddle);(-85.33532947852405;60.48878128287753)
Foggy Memory (Riddle);(-86.05117970909168;60.06094173431042)
Processsion of Bones (Riddle);(-85.77572467609474;59.80926780028315)
Mapping Out (Riddle);(-82.23103124288752;59.37791183807703)
Rightful King (Riddle);(-83.4016172805749;59.76004103033304)
Soldier to Shoulder (Riddle);(-82.59093787317232;60.16252040716277)
An Arm and a Leg (Riddle);(-81.8937543706121;61.58727637617764)
The Floor is Lava (Riddle);(-80.26421152573266;61.46880726681944)
Two of Clubs (Riddle);(-80.6287033247715;61.65176281336297)
Prophecy Prevention (Riddle);(-86.70882486147514;61.9756211154536)
Centaur Field (Riddle);(-88.19674813900235;62.32205216656877)
Blue Eyed Beauty (Riddle);(-76.96390153538528;60.77663534659495)
Upon Typhon's Crown (Riddle);(-77.74691605504199;59.50688617635063)
Made in Abyss (Riddle);(-81.239154844045;57.432491986805)
Till Death Do Us Part (Riddle);(-72.38583595850275;57.07648446192086)
Stubborn Mule (Riddle);(-71.36155955833482;60.66292274593472)
Procrastinate Now (Riddle);(-71.29047768989369;60.97008442691695)
Marbled Morale (Riddle);(-72.06803821721616;61.67249991450401)
Estate Envy (Riddle);(-72.4443199554974;61.74425986320575)
Needle in a Haystack (Riddle);(-73.70303688368529;61.41907092417579)
Grave Discovery (Riddle);(-73.34186134657591;61.91100415887784)
To the Edge of the World (Riddle);(-69.33350802245593;64.4003959209818)
Hungry for Misadventure (Riddle);(-72.61101639710074;65.09735125109748)
Star-Crossed Lovers (Riddle);(-71.18568665218243;65.72257922275129)
