Ktimene Beach;(-87.9497889429623;63.76710705121735)
Lamia Bandit Camp;(-83.25768057617904;64.88581622704089)
Red Lake Bandits;(-80.66489780652853;64.43229313540913)
Pirate Island;(-82.1810231191215;63.42639328933726)
Astra's Training Ground;(-80.66525134425626;64.18889620784664)
Melanippos's Camp;(-79.69345491576928;64.1377553173958)
Pirate's Hideout;(-74.09675476501656;64.1004600743785)
Bandit Camp;(-88.19349685405314;64.24983751873715)
Kallirhoe Bandit Camp;(-86.7605625691507;63.1093507541524)
Hecatombeaon Bandit Camp;(-85.85048627307339;62.592087225525)
Artemis Trikalaria Camp;(-85.12005299874971;62.91874806782936)
Medea Camp;(-82.6642992054202;62.50574362277563)
Marooned Bandit Camp;(-85.07292654981575;63.88584376934777)
Camp of the Bow Bearers;(-84.38863195844982;64.31634371393062)
Forest Camp;(-83.75555190335649;65.06604586791433)
Heraklea Bandit Camp;(-82.86875804127794;64.88350260384023)
Hunter's Rest;(-82.8703370740563;64.20990579089185)
Lookout Camp;(-82.78179318639445;64.04299030505982)
Sanctuary of the Muses;(-81.67340412881703;63.78028670250531)
Maenad's Camp;(-80.7181892600396;63.78442710749916)
Bandit Raid;(-79.31475013393481;64.102162283602)
Pyrrha Salt Pirates;(-81.62264394377837;64.75728988202316)
Worshippers of the God of War;(-81.72345240402825;65.00330421517792)
Kerkopes Bandit Camp;(-81.22847902354204;65.09943207545778)
Seaside Hideout;(-81.16653787360133;65.69834083119825)
Shoreline Bandit Camp;(-81.97865605628846;63.03607897601224)
Erikis Camp;(-80.95828198938113;62.64815113908195)
Lais Camp;(-81.16084241418582;62.45825672477654)
Hypermnestra Camp;(-80.85187953212443;62.20893269197293)
Panoptes the Forest Guardian;(-81.42657229908627;61.91715471382523)
Bronze Club of Periphetes;(-80.63158818145115;61.65153903828863)
Danaides Camp;(-80.83425183024531;61.24155748204657)
Old Battlefield;(-82.01196935243058;61.22094508412883)
Abandoned Hunting Camp;(-82.69579876966077;61.1439963953153)
Telephos Bandit Camp;(-82.72279131689584;60.96488207436401)
Untilled Plains;(-84.18536579190527;60.9060055810545)
Landslide Bandits;(-85.28303740521591;61.41707703957499)
Burned Farm;(-83.51248933628534;61.65259908901144)
The Scorched Tree;(-83.4829635794494;61.51765488504478)
Dryad's Camp;(-87.5716334282028;61.87637886994087)
Quicksand Bay;(-88.27547071273142;61.97070781382212)
Arrachion Jetty;(-86.93973011222499;61.02594661976675)
Arrachion Camp;(-86.71588367667812;61.06085253783926)
Laganda Pass;(-84.3412267692085;60.16621790874473)
Artemis's Hunting Grounds;(-84.60833187174757;60.56312399167783)
Aristomenes Camp;(-85.57363992379112;60.21585766743202)
Tamyris Camp;(-86.30148091979896;60.26561781966392)
Pedasos Camp;(-86.5032146267331;59.27382365781067)
Pond of Tainaros;(-83.40121010946109;58.33637785020151)
Alter of the Dioskouroi;(-82.22628861034417;59.37673658652165)
Pirate Beach;(-80.85216004640972;58.9377310776344)
Lake Poseidon;(-82.05877239974848;60.57372480011613)
Chariot of Hippolytos;(-80.58856317203958;60.62181955695964)
Menestheus Camp;(-79.32616108090207;62.17338098751392)
Poor Market;(-78.29620357838769;62.4743356876329)
Phedrea Camp;(-78.23492374517912;63.03759651309116)
Salty Bandits;(-80.67182865240568;64.67710811164639)
Kimon Camp;(-73.68855066322408;64.03294633588487)
Prasonisia Island;(-72.53928401864891;61.41146514403428)
Barracuda Island;(-71.42533646926358;61.627759387196)
Pirate Coast;(-68.223881925152;62.2186829654087)
Pirate Beach_1;(-71.57395955482951;60.54008999356945)
Kalantos Bay;(-71.33363362709514;60.5390768711646)
Shipwreck Campsite;(-80.72577010017051;56.48768805676878)
Alkidas Fort;(-71.13677115025746;65.71818112798664)
