Drogarati Cave;(-88.41858175967968;63.81293143870384)
Cave of Tethys;(-88.53567518315992;63.62720064771069)
Melissani Cave;(-88.402476310729;63.998753574046)
Melissani Cave_1;(-88.385310173034;64.008140027527)
Cave of the Nymphs;(-87.90004874530928;64.0971968173272)
Myson Cave;(-82.16087677583363;65.53259700911212)
Cave of Kratos;(-82.66129659137687;64.54701478893998)
Korykian Cave;(-83.22159932575187;64.50685166500148)
Persian Remnants;(-82.19622156428119;64.74109142500845)
Silver Foothill Trail;(-75.11483525415406;65.8962449280468)
Silenos Cave;(-75.82688664575562;65.74747320866173)
Cave of the Forgotten Isle;(-82.82626645983487;63.63741847605413)
Cave of the Oracle;(-81.58293408659898;63.81018266177993)
Cave of Madness;(-78.77458646529874;63.57047355492965)
Katarraktes Cave;(-77.23022291713687;64.42940915997487)
Northern Cave;(-77.91388269008036;64.7179183400498)
Cave of Pan, Attika;(-77.22546569875902;63.44046560466172)
Entrance to the Underworld;(-79.14738272553029;63.05358337778088)
Battlefield Cave;(-80.47003042737879;63.10793023466837)
Grave of Sisyphos;(-80.82983267347254;62.68939564382932)
Silver Mine;(-77.28898597224713;62.0720547114661)
Cave of Ares;(-75.55685256018648;61.96433182942852)
The Depth of the Forge;(-79.27126542816927;61.43212774728378)
Cave of Pan, Argolis;(-80.75050396261292;61.57714118743999)
Dibutades Cave;(-80.82870753426289;62.30324022290575)
Sacred Cave;(-81.70359286494909;62.3947147884234)
Shrine of Ares;(-81.9412274950572;62.10217189661893)
Depleted Silver Mine;(-82.155298220892;61.8513508407997)
Ladas Bandit Camp;(-85.8166153813604;63.24179296513825)
Idean Cave;(-86.31628958714509;62.41704078610884)
Cave of Ionides;(-85.93728311545982;61.5413779528914)
Grotto of Pan;(-86.48004168062153;60.79541435426053)
Andania Mine;(-85.98291033296528;60.52423585708927)
Terror Gorge;(-85.36080950288715;60.49043146777795)
Cave of Sorrows;(-83.85560174408675;59.74681591588817)
Cave of Poseidon;(-80.71795500654616;58.19179496491954)
Abandoned Mines;(-77.07167038972989;60.8252356689866)
Psaros Pyrgos;(-77.23641630592078;60.74877745430884)
Wailing Cavern;(-75.419695133602;60.973847386839)
Shrine of Herakles;(-73.35306971936205;61.47944030075396)
Porphyrion Cave;(-72.0832999016107;61.67074577781655)
Cave of Mt. Zas;(-71.25001601393882;60.61303193429147)
Sphongos Cave;(-69.79322241166034;59.9843787272472)
Drakontospilo;(-70.85930402707135;58.24002268929358)
Gerontospilios;(-73.56201999541162;57.20309478658443)
Cave of Rhea;(-73.66416667539465;56.99179316775961)
Daidalos Armory;(-72.6962658370382;56.67250027484094)
Arkalochori Cave;(-71.97391476281945;57.15044304634633)
Thilakas Cave;(-70.7761400839222;57.25895165572346)
Cave of the Brave;(-69.99462645854953;56.75482425831282)
Akousmatikoi Cave;(-69.75108488758724;62.12878042570069)
Hermit's Cave;(-80.78791481552014;57.23421606376847)
Hunter's Cave;(-81.10651833114514;57.02253296417435)
Ogylos Cave;(-80.69034151216368;56.42045964521957)
Angelos Cave;(-68.19121804311033;63.83185404758484)
Bolissos Cave;(-69.30946978851705;64.2499381545919)
Harpagos Cave;(-69.57657489105611;64.30834520623522)
Paktyes Cavern;(-69.21539935394674;64.47513443790294)
Cave of Potnia Theron;(-68.64045284544943;64.39911759780396)
Artemis Cave;(-68.75855587279318;64.35933109508316)
Cave of Arktoi;(-68.6390795544338;64.30907039481781)
Cryptic Cavern;(-72.64001323580788;65.24403374946851)
White Wolf Cave;(-68.74327229757017;65.31210898610976)
Mushroom Cave;(-69.33653401632017;65.6333497999408)
Seaside Cavern;(-70.78413963585183;65.9807400111823)
Madness Cave;(-85.4827530504433;60.78685275455742)
