Sami;(-88.21524993222096;63.93652894245937)
Ship Dock (Karystos Dock);(-75.87062060872864;63.6973917770049)
Ship Dock (Amphipolis);(-77.98205069320807;66.18759193068172)
Ship Dock (Potidaia);(-79.38107895650523;65.555387339505)
Ship Dock - Patrai;(-85.91048619599962;63.52401783162966)
Marooned Bandit Camp;(-85.07195749875711;63.85808398559902)
Kirrha Ship Dock;(-84.3756269213722;64.11168536978694)
Port of Kreusis;(-81.60346930087758;63.47003739838106)
Pagai (Ship Dock);(-81.26072911837525;63.16413679979674)
Korinth (Ship Dock);(-81.79035668285638;62.58767949729271)
Kyllene Ship Dock;(-88.92390281334974;62.03387487479736)
Ship Dock;(-87.97546867447022;61.58061639918022)
Phigaleia Fishing Port;(-86.81644638049659;60.83909115078104)
Aipeia Ship Dock;(-85.59433157013052;59.66161672461976)
Village of Gytheion Ship Dock;(-82.62466611130816;59.20145980375708)
Murex Dyeing Facility Ship Dock;(-81.62561937231152;57.38329345416508)
Skandeia Harbor Ship Dock;(-80.65155369493442;56.99865713042195)
Messara Ship Dock;(-75.96291564497454;57.14037145831848)
Kydonia Ship Dock;(-74.72939094202866;57.24754567517887)
Heraklion;(-72.22887219432732;57.25055285955963)
Lato Harbor Ship Dock;(-71.03951971559405;57.33471910623066)
Anaphi Ship Dock;(-71.60221356588613;58.16506165303088)
Nisyros Ship Dock South;(-69.72464756017064;58.46723945463261)
Nisyros Ship Dock North;(-69.70176346954827;58.80469489645505)
Thera Ship Dock;(-73.80588310766956;58.54201366351705)
Melos City Ship Dock;(-77.68177591788776;59.44366265247535)
Melos Ship Dock North;(-77.03738620307104;59.72624581883081)
Small Settlement Ship Dock;(-79.22684256907303;60.56515803463254)
Eros Grove Ship Dock;(-78.8409477936824;60.45801228129697)
Smuggler's Forest Ship Dock;(-81.84489166140355;60.93126779802046)
Nauplia Ship Dock;(-81.63546478152074;61.26214690934346)
Epidauros Ship Dock;(-79.98174261905928;61.42078190325725)
Port of Kechries;(-80.57703955054916;62.43717752926589)
Salamis Ship Dock;(-79.62858799395616;62.4695417335129)
Port of Pireaeus (North West);(-79.10653437679935;62.42150755041004)
Port of Pireaeus (South East);(-78.78771036124095;62.31474176165283)
Chora Ship Dock;(-77.05646526605256;60.71399284791252)
Paros Harbor Ship Dock;(-73.40131925633034;60.65402904280624)
Paros Ship Dock East;(-72.44646600000573;60.75730961947878)
Naxos Ship Dock;(-71.71284139896073;60.94636297697276)
Naxos Ship Dock East;(-70.96168469646256;60.6486040666373)
Apollonas Ship Dock;(-70.94147793940215;60.988177044414)
Pythagoreion Ship Dock;(-68.81076696201393;61.95415695020665)
Kazania Fishing Village Ship Dock;(-68.55067866657976;62.30036477283367)
Mykonos Ship Dock;(-71.72904109484284;61.85014880201381)
Mykonos City Ship Dock;(-72.48298363042562;61.61044354640324)
Sanctuary of Apollo Ship Dock;(-73.69245923392737;61.64167850476843)
Poiessa Ship Dock;(-75.21232035234561;61.9858264961436)
Keos Ship Dock;(-76.0191288240253;61.7585818629636)
Koressia Ship Dock;(-75.65693127208834;62.14586392586787)
Abandoned Farmlands Ship Dock;(-76.5865066519321;63.28571118505354)
Eretria Ship Dock;(-77.04432435124818;64.01391916047562)
Chalkis City Ship Dock;(-78.20444786378704;64.14688236130146)
Skyros Ship Dock;(-74.43613474818511;64.28477110000122)
Opous Ship Dock;(-79.91734510079345;64.56060751544896)
Hot Gates of Thermopylai Ship Dock;(-82.34876883588333;64.82054111659215)
Aliki Quarry Ship Dock;(-75.41471198409812;65.58969624603604)
Myrina Ship Dock;(-73.60305938375092;64.934118991459)
Green City NW Ship Dock;(-73.75892791402435;65.15689268901004)
Sky Fall Lakes Ship Dock;(-72.6604275376589;65.26590187879005)
Green City SE Ship Dock;(-72.9537095356518;64.97816555473304)
Eresos Ship Dock;(-70.72573640839681;65.46553017839956)
Vineyard Canyon Ship Dock;(-69.38750860672627;66.08112992885789)
Mytilene Ship Dock;(-68.29845014584816;65.55085058262569)
Andros Ship Dock;(-74.18444048055727;62.93456377829886)
Chios City Ship Dock;(-68.41123794428023;64.12172556063477)
Chios North Ship Dock;(-68.44595848377321;64.51138406570796)
Chios West Ship Dock;(-69.03800321392168;64.0744955476288)
Chios South Ship Dock;(-69.07138506987735;63.48695105637032)
Herb Fishing Village Ship Dock;(-69.22007440590164;60.33869988616531)
Astypalia City Ship Dock;(-70.09256635500896;59.80715331889206)
Ancient Pearl Ship Dock;(-69.25634250138296;65.18094561791578)
Ship Dock_1;(-86.55178823462222;58.8478231560775)
Pellene Ship Dock;(-83.87954051517323;63.05794053557672)
Ship Dock (Thasos City);(-75.74962198620915;66.04107452780029)
