Markos's Vinyard;(-88.56163469197327;63.78785165436405)
Abandoned House;(-88.16350899278052;63.85286296090803)
Gymnasium;(-84.50650042595345;64.18122867718083)
Guesthouse;(-84.32522601189095;64.21948091373487)
Farmhouse;(-84.45685933600254;64.53674448150612)
House of the Pythia;(-83.84975022598678;64.50622791628649)
Phyllidos's House;(-82.31086667405805;65.17263723398112)
Amphipolis Farm;(-77.57429409944001;66.29323936085879)
Champion's Gymnasium;(-75.81240609037093;65.9556509753791)
Tax Office;(-75.58366940981108;65.94068822818538)
Vineyard of Glory;(-75.95772163363301;65.86120085506926)
Karpos's House;(-76.06621162386739;65.85586505020291)
Aliki Quarry;(-75.36151833699086;65.63403541585075)
Mikkos's House;(-73.67544632558293;65.17376561981894)
Lemnos Farm;(-73.13986282948918;64.98483574728158)
Dread Ruins;(-70.44402262001256;65.7555172847899)
Chalkis Farm;(-77.78351068350389;64.37349113457013)
Karystos Dock;(-75.9173125032599;63.7153374795484)
Huntress Village;(-68.66849061307948;64.34454566881243)
Mastic Farm;(-68.73573638589806;63.76134676798399)
Bouleuterion of Patrai;(-86.06879190361201;63.34839886257251)
House of Phoenician;(-84.51330362688259;62.74777915624458)
Pellene Tavern;(-83.68252398906424;62.88562998411145)
House of Pindar;(-81.32910693430762;64.23206924702085)
Farm of Tripodiskos;(-80.86957314081297;63.05027820786363)
The Monger's Warehouse;(-81.51202318545018;62.6474611597938)
Lechaion Goods Warehouse;(-81.63287279482518;62.57291217288304)
Pottery Workshop;(-81.86221239443455;62.54601602200929)
Abron House;(-81.80178758974705;62.49088214263527)
Stoa;(-81.58757434524648;62.41325683870467)
Stable of Ares;(-88.19856350321152;62.51891953417917)
Kallias's Warehouse;(-88.98339931864115;62.11603413815374)
Deserted Farm;(-83.74787335463031;62.10391107331247)
Phaia's Pig Farm;(-81.59459630396725;62.08931728602253)
Chremata House;(-81.91092973486957;61.65588077210962)
Nauplia Shipshed;(-81.8045225732435;61.28662982100092)
Tydeus's Lair;(-81.27923875976694;61.18850128573235)
Archon's Safe House;(-83.48274141281485;61.36089971632057)
Tegea Barracks;(-83.89064669764696;61.23509826702068)
Lost Horse of Odysseus;(-85.12966155500169;60.82972335959124)
Guesthouse_1;(-80.35958980158341;61.19323864168563)
Eristenea House;(-80.01008723810685;61.50304785920589)
Hydrea Apple  Farm;(-79.00973902839405;60.578554586531)
Production Line;(-85.54336004202867;59.79273282303622)
Forge;(-85.73630742972398;59.69066289173387)
Oplopoiike Warehouse;(-82.80898252093357;59.31960988800327)
Amyklai Farm;(-82.3305536547897;59.64822603480831)
Amyklai Blacksmith;(-82.24403632080532;59.70161644888299)
Aetios's House;(-76.96653490314924;60.77362243008889)
Forest Hut;(-76.86147814045393;60.93481214270716)
Piraeus Workshop;(-78.9734142577991;62.29858254887203)
Agora;(-78.91436274412723;62.42726192305294)
Choma Camp;(-78.9266800847534;62.52473548446145)
Marble Workshop;(-78.34114446973211;62.62408959052016)
Athens Mint;(-77.8570593867243;62.60577114677452)
Hermippos's Residence;(-77.99232855176336;62.7422552299094)
Logismos Building;(-77.7691687617243;62.61966893231023)
House of Solon;(-77.66698796977704;62.67424944143163)
Commercial Stoa;(-77.49807317485516;62.67172770322189)
Textile Workshop;(-77.62685661212845;62.36014331943868)
Altar of Love;(-78.73982478416508;62.98377028596463)
Burned Farm;(-78.04697969728511;63.12680748316838)
Slave Market;(-77.95589448522975;64.08089368338332)
Smuggler's Dock;(-74.3904959761029;64.28634173805857)
Saccharine Orchard;(-74.13551742693755;64.23428769801026)
Vineyard;(-69.3774794698349;65.83122769597477)
Mytilene Farm;(-68.79728450758444;65.63574459947507)
Sappho School;(-68.60899075058467;65.58710305282216)
Boupalos Shipyard;(-68.30836642707703;64.15628731725963)
Delian Quarter;(-68.5261829903003;62.27275182095499)
Aristocratic Residences;(-68.90672779968673;62.03102960863392)
Tavern;(-72.27116047904633;61.63677733931171)
Hestiatorion;(-73.56823384330414;61.73318120074863)
Sculptor's Warehouse;(-73.16885381889364;60.63318350153389)
Kouros Workshop;(-71.65445591185699;60.87499985198765)
Kythera Treasury;(-81.20440022242246;57.22869028143562)
Olive Farm;(-80.97094074976621;57.31333429677995)
Skandeia Treasury;(-80.73267475855528;57.09240713416907)
Kresilas's Residence;(-74.82034100448891;57.00739912488024)
Shepherd's Hut;(-74.05851711552322;56.80647614573967)
Ardos's House;(-73.30777382299027;56.68835490843598)
Fisherman's Beacon;(-72.58302364822515;57.38701044207622)
Fisherman's Beachhead;(-72.28652724267124;57.18556759658733)
Warrior's Battleground;(-70.64843389781652;57.13549511380312)
Warrior's Archery Range;(-70.69426988488487;57.04087851010568)
Kos Herb Fields;(-70.16180219682133;59.91774498197674)
Hippokratic School of Medicine;(-70.22046852987756;59.87871936656222)
Aion Vineyard;(-69.93597457462351;60.02442537609425)
