Cyclops's Lair;(-89.07265195836294;63.90298742011665)
Logging Camps;(-68.54896880777306;63.97967802393379)
Antigenes Camp;(-68.31962920816369;63.93988812367893)
Aristeas Military Camp;(-80.28853952488089;66.11137840624336)
Rhamphias Military Camp;(-78.08881211080211;65.76593367588927)
Military Warehouse;(-75.779093827937;66.01183831844489)
Silver Mines;(-75.33872903366546;65.79965783253988)
Lumberyard;(-88.49613549292224;64.17018969816374)
Lumber Shipyard;(-88.79416830858258;64.06551074647496)
Kleptous Bay;(-87.83570172726814;63.58896264746064)
Kleptous Lookout;(-87.62543110053167;63.48431532638487)
Erochos Military Camp;(-84.36202142377488;64.98115187808688)
Forest Military Camp;(-83.22755650549584;65.07397794613019)
Amphikleia Military Camp;(-82.94547701523715;64.70661872616802)
Bulis Military Camp;(-83.22607908211324;63.92355649480938)
Nine Roads Camp;(-82.11039741280888;63.98277794451248)
Training Camp;(-81.26231701914844;63.74343652583725)
Kreusis Military Camp;(-81.70101884486297;63.53928819747337)
Military Camp on the Hill;(-80.86231452659962;64.42583733320895)
Ajax Military Camp;(-81.47001202443931;64.62640741213288)
Olos Camp;(-81.55811343768158;65.02877239628337)
Ischagoras Military Camp;(-78.98858430469176;65.82389729876756)
Kinira Outpost;(-75.01749397267804;65.70177000345318)
Simia Checkpoint;(-78.261637571616;64.63999780527229)
Krios Camp;(-77.679362180991;64.68231423385622)
Gongylos Camp;(-77.32434663565203;64.17428017738067)
Gimno Outpost;(-76.65971609318171;64.3591221067367)
Prinia Outpost;(-75.07130928834823;64.1202793762536)
Potnies Military Camp;(-78.9322097958887;63.97760325756852)
Spartan Military Camp;(-79.30066410903953;63.40712485054788)
Anthemokritos Camp;(-79.35505725010256;63.15574510915612)
Camp Dekelia;(-77.75021918188122;63.31921857808332)
Rhamnous Military Camp;(-76.90858903205208;63.35992967416146)
Eirena Military Camp;(-80.20297804706865;63.0187451030415)
Odomantian's Spartan Camp;(-78.23465377490317;62.86916651613743)
North Wall Breach;(-77.93911583789378;62.81399559450799)
Weapon Storage;(-78.2700789726594;62.72885592455477)
Acharnai Military Camp;(-78.48362572558909;62.73200198017244)
Prison;(-78.01914736170664;62.5703675003337)
Piraeus Civilian Port;(-78.5994611238346;62.33259709521617)
Piraeus Naval Port;(-79.27134929211576;62.56527033196179)
Diolkos West Ramp;(-81.41146147743012;62.79711931071724)
Wall of Nikias;(-81.18898833289887;62.67413037902796)
Military Camp;(-81.19516814246919;62.53036425484041)
Pallas Military Camp;(-82.6318691752486;62.78499952587157)
Aristonautai Military Camp;(-83.23461448498506;62.97722117876407)
Langon Military Camp;(-85.22991370952099;62.46495971145026)
Panormos Military Camp;(-85.20448602200116;63.29567617625212)
Mount Skollis Military Camp;(-86.83183587551679;62.78076413212855)
Peneios Camp;(-87.88860599537855;62.62394130028071)
Treasury of Elis;(-88.18652571504623;62.2471688001171)
Alpheios Camp;(-87.17362208301495;61.92906582150823)
Neda Camp;(-87.80376015037757;61.58556556339374)
Endymion Camp;(-86.25905556057455;61.64897144699285)
Teuthis Camp;(-85.12568235987453;61.73047510654934)
Agemetor Military Camp;(-83.17788955385402;61.82745510857697)
Alkyoneus Camp;(-82.43943277921016;62.02101624122911)
Hyperbios Camp;(-82.55066935147579;62.29998899678456)
Collapsed Wall Guardians;(-81.44982732813958;62.27662904862798)
Phleious Military Camp;(-80.95703043638673;61.87364919190836)
River Camp;(-86.32376899643856;61.00298346614086)
Methudrion Military Camp;(-84.95040054132198;60.97458066160244)
Helisson Camp;(-84.84465713311886;60.73782776598863)
Echemos Camp;(-83.70469681730503;61.02175964487088)
Kepheus Camp;(-83.0585795114817;61.05239647362365)
Elektryon Military Camp;(-81.49326446050299;61.09987523230975)
Troezen Military Camp;(-80.00564428574057;61.14926464552085)
Saron Military Camp;(-79.60464330917807;61.23694417910426)
Paidiskoi Camp;(-83.38481140878758;59.76592164759781)
Pherai Camp;(-84.97005490710262;59.80490334031316)
Makaria Checkpoint;(-85.31955747057918;59.85597532513938)
Keadas Cave;(-85.30513791491512;60.04447568873389)
Stenyklaros Checkpoint;(-85.82688995522693;60.15266282626446)
Polichne Camp;(-86.26910869199651;60.16101661556277)
Pylos Military Camp;(-87.08827678281682;60.07275257144403)
Nestor Checkpoint;(-86.31099406797307;59.74362865688624)
Kolonides Camp;(-85.6928991055895;59.34439168007832)
Sanctuary of Achilles;(-82.51821331123807;60.64904842978952)
Thorikos Military Camp;(-77.06142861721656;61.99159507225707)
Forgotten Watchtower;(-75.79306481624491;61.7064979110666)
Military Camp of Ioulis;(-75.74085374781498;62.00322756024056)
Northeastern Ruins;(-75.07618288161905;62.13549258871939)
Beach Encampment;(-73.378621444732;62.59601920247943)
Kynthos Ruins;(-73.3644876594746;61.90732417472858)
Farm of Elais;(-73.12116156180463;61.44827423019754)
Leleges Military Camp;(-71.9079228635174;61.65772066072057)
Garden of Artemis;(-69.39870244607937;62.29575305016144)
Theramenes Military Camp;(-73.04108136803734;60.79248410776293)
Pirate Bay;(-77.26300558099678;60.85043380222127)
Autokles Military Camp;(-81.33055634737298;57.05515214848596)
Polyrrhenia Military Camp;(-75.87187717810019;57.21624463596167)
Idomeneus's Military Camp;(-71.82617806997143;56.58092447307546)
Chersonasos Military Camp;(-71.60713815297925;57.24216108702847)
Istronios Military Camp;(-69.7683588309626;56.95117039284961)
Vrontados Outpost;(-68.40196219626893;64.25071605434123)
Pittakos Outpost;(-68.4408586581605;65.37168383327067)
Paches Outpost;(-69.11028209491735;65.71165478079168)
Varos Outpost;(-72.91837938642044;65.0738193224753)
Kypselos Camp;(-82.33419179739087;62.61430618550003)
